CourseId,Title,Subject,Number,Description,seeAlso,Topic,Outline
3379,BUILDING ENVIRONMENT,BLDG,6701,Please see GRAD Calendar,https://users.encs.concordia.ca/~design/,,
3385,HVAC CONTROL SYSTEMS,BLDG,6741,Please see GRAD Calendar,https://users.encs.concordia.ca/~tse/,,
3389,ENERGY MGMT. IN BUILDINGS,BLDG,6781,Please see GRAD Calendar,,,
3391,CONSTRUCTION PLANN G+CONTROL,BLDG,6801,Please see GRAD Calendar,https://www.concordia.ca/ginacody/programs/summer-camps/girlset.html,,
3395,CONSTRUCTION PROCESSES,BLDG,6831,Please see GRAD Calendar,,,
3398,PROJECT COST ESTIMATING,BLDG,6851,Please see GRAD Calendar,https://www.concordia.ca/ginacody/programs/summer-camps/science-engineering-camp.html,,
3399,SIMUL.+ DESIGN/CONST. OPER.,BLDG,6861,Please see GRAD Calendar,https://www.concordia.ca/research/composites/facilities.html,,
3405,TRENCHLESS TECH.REHAB. WORKS,BLDG,6921,Please see GRAD Calendar,,,
3406,INFRASTRUCTURE REHABILITAT N,BLDG,6931,"State of Canadian urban infrastructure. Rehabilitation techniques as applicable to steel and concrete structures; degradation mechanisms; detection and classification of defects. Evaluation and assessment of the conditions of buildings and bridges. Rehabilitation materials and methods. Codes and guidelines. Case studies.
Note: Students who have taken ENGR 6731 may not take this course for credit.",,,
3407,SOLAR BUILDING MODELLING AND DESIGN,BLDG,6951,Please see GRAD Calendar,https://www.concordia.ca/research/water-energy.html,,
3411,DURABILITY OF BLDG. MATS.,BLDG,7601,Please see GRAD Calendar,https://www.engcomm.ca/about-us/,,
3415,PROJECT ACQUISITION+CONTROL,BLDG,7811,Please see GRAD Calendar,https://www.facebook.com/ewbconu/,,
3417,BUILDING ECONOMICS II,BLDG,7831,Please see GRAD Calendar,https://www.facebook.com/groups/6346382844/about/,,
3419,INFORMATION TECHNOLOGY APPLICATIONS IN CONSTRUCTION,BLDG,7841,"Prerequisite: BLDG 7811.
Use of computers in estimating, cost engineering, scheduling and resource analyses, materials control, report generation and operations simulation. Information systems: information-based theories of management; information technology, cost and value information; analysis, design and implementation of a network based control system. Considerations for computer usage in construction firms; hardware, software, operations, economic, human and organizational. Product and process modelling; Internet use in product delivery. A project is required.",https://www.facebook.com/groups/scsconcordia/about/,,
3421,BUSINESS PRACTICES/CONSTR N,BLDG,7861,Please see GRAD Calendar,,,
3423,CONSTRUCTION EQUIPMENT MGMT.,BLDG,7871,"Prerequisite: BLDG 6561.
The study of various classes of equipment, (cranes, excavators, loaders, tractors, etc.) used in construction. Methods are developed for selecting, acquiring, maintaining and replacing equipment. Treatment of simulation and its use for the optimal selection of equipment spreads. A project.",,,
3519,STAT. MODELS-DATA ANALYSIS,BSTA,378,Please see UGRD Calendar,,,
3520,STAT SOFTWR/DATA MANA & ANAL,BSTA,445,Please see UGRD Calendar,,,
3521,MANAGERIAL FORECASTING,BSTA,477,Please see UGRD Calendar,,,
3522,DATA MINING TECHNIQUES,BSTA,478,Please see UGRD Calendar,,,
3523,FUNDMNTLS OF INFO TECHNOLOGY,BTM,200,Please see UGRD Calendar,,,
3524,Introduction to Business Application Development,BTM,380,"This course introduces students to the fundamentals of developing computer applications. Students gain knowledge and learn techniques necessary for building business applications, based on the modern object-oriented develop-ment paradigm. Students learn the principles of object-oriented programming using a contemporary language and integrated development environment. Topics include control structures, objects, classes, inheritance, class hierarchies, and polymorphism. Using appropriate business examples, this course enables students to solve business problems using the fundamentals of object-oriented programming.
Prerequisite: COMM 226, 301.
NOTE: Students who have received credit for DESC 381 or 391 may not take this course for credit.



",,,
3525,Database Management,BTM,382,"This course provides a comprehensive foundation for designing, building, and working with databases, enabling students to understand and use commercially available database products effectively. The course examines different models of representing data with emphasis on the relational model. Topics include data modelling, database design, queries, transaction management, implementation issues, and an overview of distributed database management systems, data warehouses, databases in electronic commerce, and database administration. Examples are drawn from various functional and operational areas including enterprise and supply chain operations, management, and planning.
Prerequisite: COMM 226 or 301.
NOTE: Students who have received credit for DESC 382 may not take this course for credit.



",,,
3526,E-Business,BTM,387,"This course covers the essentials of how e-business is conducted and managed. Its major opportunities, limitations, risks, and issues for individuals, organizations, and society are discussed. Topics covered include e-business architectures, models, technologies, and privacy and security issues. Applications such as e-learning, e-government, and telemedicine are also discussed.
Prerequisite: COMM 226 or 301.
NOTE: Students who have received credit for DESC 387 may not take this course for credit.



",,,
3527,INTERNET PROGRAMMING,BTM,395,Please see UGRD Calendar,,,
3528,ENT RES PLNG&INFO TECH INTG,BTM,430,,,,
3529,Project Management,BTM,480,"This course covers the theory, tools, and techniques associated with the management of projects including the use of project management software. Cases from various business contexts are used to illustrate essential steps in setting up project plans, scheduling work, monitoring progress, and exercising control to achieve desired results. The course integrates the Project Management Body of Knowledge with the Project Management Institute's certification requirements.
Prerequisite: COMM 225 or 226 or 301.
NOTE: Students who have received credit for DESC 483 or for this topic under a DESC 490 number may not take this course for credit.



",,,
3530,Information Systems Analysis,BTM,481,"This course covers the first phase of the systems development life cycle, which culminates in the systems proposal. Topics include the preliminary survey, analysis of existing systems and identification of deficiencies, the development of functional specifications, feasibility and cost/benefit analysisÂ and development of a recommended course of action. In addition, various diagramming techÂ­niques are examined.
Prerequisite: BTM 382 previously  or concurrently
NOTE: Students who have received credit for DESC 481 may not take this course for credit.",,,
3531,Information Systems Design and Implementation,BTM,495,"The main objective of this course is to expose students to the concepts, tools, and techniques they need to transform the information system requirements, resulting from the system analysis phase, into system design specifications, and to transform the information system design specifications, resulting from the system design phase, into a system prototype. The course introduces the concepts, techniques, and methodologies of the object-oriented approach to information system design. The unified modelling language is used to develop design specifications for the systems. Topics include design of use case models, classes and class diagrams, interaction diagrams, and state chart diagrams.
Prerequisite: BTM 380 or DESC 381 or DESC 391; BTM 382 or DESC 382; BTM 481 or DESC 481.
NOTE: Students who have received credit for DESC 495 may not take this course for credit.



",,,
3532,"Information Technology Strategy, Management, and Sourcing",BTM,496,"This course addresses issues involved in administering the activities related to information technology (IT) resources in an organization. Topics covered include IT strategy, governance, sourcing, architecture, risk management, security policies, resource allocation, and change management. The course also covers areas related to the external environment of an organization such as the IT industry evolution, scanning, and its emerging solutions.
Prerequisite: BTM 481 or DESC 481.




",,,
3627,Creative Computing and Network Culture,CART,211,"This course gives a broad introduction to the fundamentals of creative computing and network culture. Through readings and practical examples, students explore the histories of the Internet, computing, and interactivity as well as gain knowledge of fundamental technical tools used for creating network-based media.
Prerequisite: Enrolment in a Computation Arts program or written permission of the Department.
NOTE: Students who have received credit for DFAR 251 or CART 251 may not take this course for credit.



",,,
3628,Digital Media Studio I,CART,212,"This studio-based course focuses on the production of dynamic and interactive audio/visual media. Students develop proficiency in generating original audio and visual material as well as exposure to current digital media software. Concurrent with gaining knowledge of existing tools for production, students create a high-quality studio work for portfolio inclusion.
Prerequisite: CART 211; enrolment in a Computation Arts program; or written permission of the Department.
NOTE: Students who have received credit for DFAR 252 or CART 252 may not take this course for credit.



",,,
3629,Visual Form and Communication,CART,214,"Key themes of visual communication are explored in the context of computation arts. This studio course considers design elements such as line, pattern, shape, texture, interpretation of space, surface, perspective, dimension, repetition, randomness, colour and colour spaces, typography, drawing from observation, layout and composition and conceptualization. This class is predominantly non-digital and discusses the relationships between analog and digital approaches.
Prerequisite: Enrolment in a Computation Arts program or written permission of the Department.
NOTE: Students who have received credit for CART 254 may not take this course for credit.



",,,
3632,Creative Computation I,CART,253,"This course focuses on developing students' programming abilities, beginning with basic concepts and building toward approaches of increasing complexity. Students put these concepts and techniques into practice by creating their own expressive digital media projects, exploring areas such as interactivity, play, sound, and
video.
Prerequisite: Enrolment in the Specialization or Minor in Computation Arts or written permission of the Department.",,,
3634,New Media Theory,CART,255,"This course is a critical introduction to new media theory focusing on issues of interaction, inscription, representation, code, reproduction, spectacle, control, body and resistance. Students develop tools to undertake a critical analysis of media and technology and their social, political, economic, and cultural ramifications.
Prerequisite: Enrolment in a Computation Arts program or written permission of the Department.




",,,
3637,Digital Media Studio II,CART,312,"This studio-based course furthers work done in CART 212, focusing on the production and authoring of dynamic audio/visual media using advanced techniques such as compositing and motion graphics. Students develop proficiency in generating original audio and visual material as well as exposure to current digital audio-visual-authoring software including postproduction environments such as After Effects and Motion. Concurrent with gaining knowledge of existing tools for production, students create a term-long project which will be a high quality, studio work appropriate for portfolio inclusion.
Prerequisite: CART 212; 24 credits completed in a Computation Arts program; or written permission of the Department.
NOTE: Students who have received credit for CART 352 may not take this course for credit.



",,,
3638,Digital Texts and Typography I,CART,345,"This is a studio course in which students conduct experiments in digital text, type, and typography. It looks at how type can be used in dynamic, interactive, and performative contexts, how manipulating the appearance and behaviour of type affects the meaning of the text, and how to work with the materiality of letterforms. Class projects include motion typography for video, interactive texts, liquid/random/malleable fonts, and computationally responsive letterforms.
Prerequisite: 24 credits completed in a Computation Arts program; or written permission of the Department.
NOTE: Students who have received credit for this topic under a CART 355 number may not take this course for credit.
NOTE: Students are expected to have training in the fundamentals of typography.


",,,
3639,Digital Sound I: Theory and Practice of Real?Time Audio,CART,346,"This course is an introduction to the fundamental principles of real-time digital audio: the use of a computer to process, synthesize, and manipulate digitized representations of sound in real-time. Topics such as physics of sound, sampling, synthesis techniques, filters, and acoustics are introduced through the use of the real-time programming environments Max/MSP and Supercollider. Students experiment with digital audio techniques through lab exercises and the development of a final real-time composition/sound design work.
Prerequisite: 24 credits completed in a Computation Arts, Electroacoustics, or Intermedia/Cyberarts program; or written permission of the Department.
NOTE: Students who have received credit for this topic under a CART 356 number may not take this course for credit.



",,,
3641,Networks and Navigation,CART,351,"In this course, students develop interactive projects that use networked data, redefine online communities, and experiment with new communication structures. The perceptual and aesthetic aspects of digital media are addressed in relation to the technical skill sets required for navigating and understanding the possibilities and limits of networked environments.
Prerequisite: CART 211, 212; CART 263 or COMP 248; 24 credits completed in a Computation Arts program or written permission of the Department.",,,
3643,Creative Computation III,CART,353,"In this course, students develop their programming skills via specific technologies and design perspectives, including but not limited to artificial life, evolutionary computation, procedural content generation, and playful design. The course focuses on students' own studio practice as artist-programmers and supports their continuing exploration of the medium.
Prerequisite: CART 263; or written permission of the Department.",,,
3649,Tangible Media and Physical Computing,CART,360,"This course explores the concepts of tangible media and physical computation as well as related concepts of ubiquitous
computing, wearable computing, and interaction design. The focus is on conceptual development, prototyping, and implementation of tangible media and physical computing artifacts from the perspectives of technical proficiency, functionality, aesthetics, and personal/social meaning.
*Students in the Specialization in Computation Arts must complete CART 263.",,,
3650,3D Digital Production I,CART,361,"In this studio course, students are introduced to the language, principles, and practices of 3D digital animation. Students are exposed to a wide range of traditional film animation techniques and learn the technical skills and conceptual strategies for 3D digital production.
Prerequisite: 24 credits completed in a Computation Arts program; or written permission of the Department.
NOTE: Students who have received credit for CARTÂ 261 may not take this course forÂ credit.



",,,
3651,3D Digital Production II,CART,362,"This intermediate studio furthers conceptual and technical skills related to 3D digital animation. Through film analysis, readings, and lectures, students study film animation aesthetics, contemporary film practice, and advanced 3D animation techniques.
Prerequisite: CART 361; 24 credits completed in a Computation Arts program; or written permission of the Department.
NOTE: Students who have received credit for CARTÂ 262 may not take this course forÂ credit.



",,,
3653,Real?Time Video,CART,370,"A studio course in the creation and real-time processing of moving textures and video. This course surveys computer-based video art, particularly applied to installation or performance arts. It provides an introduction to mathematical approaches to real-time processing of 2D and higher-dimensional arrays, image and video filters, motion segmentation, and tracking blobs, optical flow, faces, and shapes.
Prerequisite: 24 credits completed in a Computation Arts program; or written permission of the Department.
NOTE: Students who have received credit for this topic under a CART 498 number may not take this course for credit.
NOTE: Students should have experience or knowledge in videography and video editing.


",,,
3654,Project Studio I,CART,411,"Prerequisite: 48 credits completed in a Computation Arts program or written permission of the Department. In this course, students integrate skills with objects, narratives, and environments. They refine both critical and practical management skills in team-based
projects.",,,
3655,Project Studio II,CART,412,"An advanced studio and theory course in which students integrate skills with objects, narratives, and environments. They refine both critical and practical management skills in team-based projects.
Prerequisite: CART 411; 48Â credits completed in a Computation Arts program; or written permission of the Department.
NOTE: Students who have received credit for CART 452 may not take this course for credit.



",,,
3657,GAME STUDIO I,CART,415,"This course introduces students to experimental game design, especially through the creation of their own unconventional and expressive digital games. A theoretical and critical understanding of play and games is established through lectures, discussion, game playing, game making and critiques. Students make multiple prototype games in order to better understand relationships between design, technology and the resulting player
experience.
Prerequisite: CART 315 or 353 or COMP 376; or written permission of the Department.",,,
3658,GAME STUDIO II,CART,416,"In this studio course, students engage in larger-scale, team-based, iterative game development projects. Specific attention is given to the design of games that have intended purposes alongside entertainment ? whether these be expressive, critical, persuasive, or educational in nature. Working in teams, students move from developing a concept around a rhetorical/experiential intention, to designing and developing a digital game prototype, and finally to examining play outcomes. Practical work is in dialogue with theory drawn from game design, game studies and interaction design.
Prerequisite: CART 315 or 353 or COMP 376; or written permission of the Department.",,,
3659,Advanced 3D Studio,CART,434,"This advanced studio builds upon 3D modelling for animation, gaming, and spatial environments. Concurrent with the development of technical skill sets, students develop thematic projects with consideration given to industry standards and cultural products for public or private enterprise.
Prerequisite: CART 362; 48 credits completed in a Computation Arts program; or written permission of the Department.
NOTE: Students who have received credit for CARTÂ 354 may not take this course for credit.



",,,
3660,Portfolio Studio,CART,444,"This studio course leads graduating Computation Arts students through an analysis and synthesis of a personal body of work, self-promotional material, and a framework for a group exhibition. Discussions and assignments address the technical, formal, and conceptual elements in their work, and strategies for documentation and presentation. Students are also expected to locate their work in a social, cultural, and historical context. Various future options for Computation Arts graduates are discussed, including careers in art, entrepreneurship, design, research, and academia.
Prerequisite: 48 credits completed in a Computation Arts program; or written permission of the Department.
NOTE: Students who have received credit for this topic under a CART 498 number may not take this course for credit.



",,,
3661,Networked Media Studio,CART,451,"This course introduces advanced topics in networked media, exploring the potential of connected technologies in multiple contexts, from their role in present-day life to potential future scenarios. Special attention is given to the design rhetorics and values commonly embedded in the web and internet-enabled devices and how students can work to subvert or repurpose these conventional approaches to design.
Prerequisite: CART 351; 48 credits completed in a Computation Arts program or written permission of the Department.",,,
3666,Professional Internship I,CART,455,"Students work in the industry for a period of nine to thirteen weeks to allow them to gain experience in design firms and multimedia companies. Internships approved for credit must be academically appropriate to the program.
Prerequisite: 48 credits completed in a Computation Arts program; written permission of the Department.
NOTE: Students may count a maximum of six credits in professional internships towards their degree program.



",,,
3667,Professional Internship II,CART,456,"Students work in the industry for a period of nine to thirteen weeks to allow them to gain experience in design firms and multimedia companies. Internships approved for credit must be academically appropriate to the program.
Prerequisite: 48Â credits completed in a Computation Arts program; written permission of the Department.
NOTE: Students may count a maximum of six credits in professional internships towards their degree program.



",,,
3668,Independent Study I,CART,457,"This course provides an opportunity for a limited number of students to pursue advanced studies in computation arts research and creation project under the supervision of a full-time faculty member. A clearly defined written agreement between the student and the faculty supervisor is required before the independent study is approved.
Prerequisite: 48Â credits completed in a Computation Arts program; written permission of the Department.
NOTE: Students may count a maximum of nine credits in independent studies towards their degree program.



",,,
3669,Independent Study II,CART,458,"This course provides an opportunity for a limited number of students to pursue advanced studies in computation arts research and creation project under the supervision of a full-time faculty member. A clearly defined written agreement between the student and the faculty supervisor is required before the independent study is approved.
Prerequisite: 48Â credits completed in a Computation Arts program; written permission of the Department.
NOTE: Students may count a maximum of nine credits in independent studies towards their degree program.



",,,
3670,INDEPENDENT STUDY III,CART,459,"This course provides an opportunity for a limited number of students to pursue advanced studies in computation arts research and creation project under the supervision of a full-time faculty member. A clearly defined written agreement between the student and the faculty supervisor is required before the independent study is approved.
Prerequisite: 48 credits completed in a Computation Arts program; written permission of the Department.
NOTE: Students may count a maximum of nine credits in independent studies towards their degree program.",,,
3682,Emergency Care in Sport and Exercise,CATA,262,"This course identifies common emergency situations in the athletic environment, and provides theoretical and practical components of management skills to safely deal with these situations. Specific signs and symptoms of basic emergency conditions are discussed. Planning of events to prepare for sport-related emergencies and administration of initial emergency techniques are included. Lectures and laboratory.
Prerequisite: EXCI 253 previously or concurrently.
NOTE: The Corporation des therapeutes du sport du Quebec (CTSQ) accepts successful completion of this course as equivalent to a first aid course which is a partial requirement towards provincial recognition as a Level I Sport First Aider.



",,,
3683,Principles of Athletic Therapy,CATA,263,"The course considers topics in athletic therapy from professional, preventive, and pathological perspectives. The course deals with injury classification, clinical flexibility, strength testing, cryotherapy, and sports dermatology. Preventive techniques such as pre-season physical examinations, protective equipment, hazard recognition, and taping techniques are also addressed. Acute and chronic pathologies associated with physical activity, as well as issues including sudden death and communicable diseases in athletics, and the adolescent athlete will be discussed. Lectures and laboratory.
Prerequisite: CATA 262.
NOTE: Students who have received credit for EXCI 263 or 335 may not take this course for credit.



",,,
3685,Assessment of the Upper and Lower Extremities,CATA,337,"This course examines normal function of the upper and lower extremities of the human body. Abnormal function and various pathologies of these structures are addressed in depth. Making use of principles based on applied anatomy and physiology, students learn about clinical assessment procedures and implementation of evaluation methods addressing orthopaedic dysfunction. Types of surgical procedures are discussed. Lectures and laboratory.
Prerequisite: CATA 263; CATA 339 concurrently; enrolment in the Athletic Therapy Specialization.
NOTE: Students who have received credit for CATA 338 may not take this course for credit.



",,,
3687,Rehabilitation of the Upper and Lower Extremities,CATA,339,"This course examines concepts in the rehabilitation process including tissue healing, and introduces students to various exercise protocols and manual techniques specific to the upper and lower extremities. Students learn how to implement safe and effective rehabilitation protocols to address orthopaedic dysfunction of these areas. Patient education to facilitate rehabilitation, documentation treatment plans and treatment outcomes are addressed. Lectures and laboratory.
Prerequisite: CATA 337 previously or concurrently; enrolment in the Athletic Therapy Specialization.
NOTE: Students who have received credit for CATA 338 may not take this course for credit.



",,,
3689,Therapeutic Modalities in Sports Medicine,CATA,348,"Students are introduced to the parameters of therapeutic modalities and their physiological effects. Various modalities such as heat, cold, ultrasound, muscle stimulation, interferential current and Transcutaneous Electrical Nerve Stimulation (T.E.N.S.) are examined. For each modality, topics include instrumentation, set-up, and practical application. Basic concepts of manual treatment approaches, such as mobilizations, myofascial release, traction, and massage, are introduced. Indications and contraindications and precautions for all treatments are presented. Lectures and laboratory.
Prerequisite: CATA 337, 339; enrolment in the Athletic Therapy Specialization.
NOTE: Students who have received credit for EXCI 348 or 448 may not take this course for credit.



",,,
3690,Athletic Therapy Field Internship I,CATA,365,"This course offers students the opportunity to work in an emergency or preventive setting with a sports team, although some clinical component may be introduced. Students must be certification candidates of the Canadian Athletic Therapists Association (CATA) and the Corporation des thÃ©rapeutes du sport du QuÃ©bec (CTSQ). This course involves a commitment of 400 hours over two terms. Weekly seminars with agency supervisors are mandatory.
Prerequisite: CATA 263; enrolment in the Athletic Therapy Specialization and permission of the Department.
NOTE: Students who have received credit for CATA 390 may not take this course for credit.



",,,
3691,ATHL. THERAPY FIELD INTER.,CATA,390,,,,
3693,"Assessment of the Hip, Spine and Pelvis",CATA,437,"This course examines normal function of the hip, spine, and pelvis of the human body. Abnormal function and various pathologies of these structures are addressed in depth. Making use of principles based on applied anatomy and physiology, students learn about clinical assessment procedures and implementation of evaluation methods addressing orthopaedic dysfunction. Surgical procedures are discussed. Lectures and laboratory.
Prerequisite: CATA 337, 339; enrolment in the Athletic Therapy Specialization.
NOTE: Students who have received credit for CATA 438 may not take this course for credit.



",,,
3695,"Rehabilitation of the Hip, Spine and Pelvis",CATA,439,"This course examines concepts in rehabilitation, introducing the students to various exercise protocols and manual techniques specific to hip, spine, and pelvis. Students learn how to implement advanced, safe, and effective rehabilitation protocols to address orthopaedic dysfunction of these areas. Lectures and laboratory.
Prerequisite: CATA 339, 437 previously or concurrently; enrolment in the Athletic Therapy Specialization.
NOTE: Students who have received credit for CATA 438 may not take this course for credit.



",,,
3696,Concepts in Manual Therapy,CATA,441,"This course provides students with an understanding of the fundamental theory and practical basis for using various manual therapy techniques to keep athletes competition-ready, to help in their recovery from injury, and to improve their performance. The course explains various techniques in detail and describes the procedures involved in conducting effective treatment sessions. Muscle Energy, Active Release, Myofascial Release, and Sports Massage are some of the techniques discussed, demonstrated, and practised. Determining goals and organization of a treatment session, and the choice and application of techniques are also discussed. The goal of the course is to help athletic therapists determine the most appropriate manual therapy techniques for a variety of orthopaedic pathologies. 
Lectures and laboratory.",,,
3697,Special Topics in Athletic Therapy,CATA,447,"This course focuses on recent research outcomes and new issues in athletic therapy specific to prevention, assessment, and rehabilitation of athletic injuries. The course content varies within the domains of the Canadian Athletic Therapists Association depending upon the most current issues such as surgical techniques, new medications, advanced assessment and modality techniques, and issues related to professional development and the workplace environment. Information is presented from a variety of courses and disciplines to enhance the knowledge base received from core Athletic Therapy courses. Lectures only.
Prerequisite: CATA 348; enrolment in the Athletic Therapy Specialization.




",,,
3698,Advanced Emergency Care,CATA,462,"This course completes the preparation of Athletic Therapy students in the area of emergency care of sports-related injury. It identifies the less common and more complicated emergency situations experienced in the athletic therapy setting. Advanced theoretical and practical components are presented. This course develops the ability of the student to care for the athlete beyond the initial stages of emergency management and towards advanced life support. Lectures and laboratory.
Prerequisite: CATA 365; enrolment in the Athletic Therapy Specialization.




",,,
3699,Athletic Therapy Clinical Internship I,CATA,475,"Students must be certification candidates of the Canadian Athletic Therapists Association and the Corporation des thÃ©rapeutes du sport du QuÃ©bec. The course offers a minimum 400-hour supervised work opportunity. Under the supervision of a Certified Athletic Therapist, students are shown basic administrative skills as seen in private rehabilitation clinics or within the Department of Exercise Science.
Prerequisite: CATA 348, 365; enrolment in the Athletic Therapy Specialization and permission of the Department.
NOTE: Students who have received credit for CATA 480 may not take this course for credit.



",,,
3700,ATHL THER. CLINICAL INTERN,CATA,480,,,,
3701,Athletic Therapy Field Internship II,CATA,485,"This course offers students the opportunity to work in an emergency or preventive setting with a sports team, although some clinical component may be introduced. Students must be certification candidates of the Canadian Athletic Therapists Association (CATA) and the Corporation des thÃ©rapeutes du sport du QuÃ©bec (CTSQ). This course involves a minimum commitment of 200 hours over one or two terms. Weekly seminars with agency supervisors are mandatory.

NOTE: Students who have received credit for CATA 390 may not take this course for credit.",,,
3702,Athletic Therapy Clinical Internship II,CATA,495,"Students must be certification candidates of the CATA and the CTSQ. The course offers a supervised period of work in a rehabilitation or athletic therapy clinic, for a minimum of 200 hours including a weekly seminar.

NOTE: Students who have received credit for CATA 480 may not take this course for credit.",,,
3703,INTRO. DANCE/MOV. THERAPY,CATS,609,Please see GRAD Calendar,,,
3704,INTRO TOP-CLINICAL PSYC CATS,CATS,610,Please see GRAD Calendar,,,
3705,COUNSELLING SKILLS FOR CATS,CATS,611,Please see GRAD Calendar,,,
3706,INDEPENDENT PRACT. IN CATS,CATS,615,Please see GRAD Calendar,,,
3715,INDEPENDENT STUDIES IN CATS,CATS,636,Please see GRAD Calendar,,,
3716,INDEPENDENT STUDIES IN CATS,CATS,637,Please see GRAD Calendar,,,
3717,CREAT.PROC.CLINICAL PRACTICE,CATS,638,Please see GRAD Calendar,,,
3718,Interdisciplinary Topics: Cross-Cultural Competence in the Creative Arts Therapies,CATS,639,"This course presents cross-cultural competence as an ethical obligation, providing an
overview of multi-cultural counselling theory. Students explore challenges and
opportunities arising in creative arts therapies clinical practice within an environment of
cultural diversity as it relates to both the therapist and the client.
Note: This course is marked on a pass/fail basis.",,,
3719,Interdisciplinary Topics: Ethics in Clinical Practice in the Creative Arts,CATS,641,"This course covers ethical standards and requirements for clinical practice as established
by both professional mental health and creative arts therapies associations. Students
become familiar with expectations of professional and personal conduct as well as models
for ethical decision-making. Students also gain an understanding of their personal value
systems in relation to their work as creative arts therapists and how those values may
inform ethical decision-making within their clinical practice.
Note: This course is marked on a pass/fail basis.",,,
3721,Interdisciplinary Topics: Ethics in Research in the Creative Arts,CATS,643,"This course covers ethical standards and requirements for research as established by
both professional mental health and creative arts therapies associations. Students
become familiar with expectations of professional and personal conduct with respect to
research in the field, including research protocols for both the Department of Creative Arts
Therapies and Concordia University.
Note: This course is marked on a pass/fail basis.",,,
3722,RESEARCH PAPER,CATS,689,Please see GRAD Calendar,,,
3723,RESEARCH IN THE CATS,CATS,691,Please see GRAD Calendar,,,
3724,APPL.RESEARCH PROJ/REPORT,CATS,698,Please see GRAD Calendar,,,
3738,Ceramics I,CERA,230,"An introduction to clay as an art medium employing the various techniques of forming, shaping, and decorating for firing and glazing.
Prerequisite: While priority is given to students within the program, students wishing to enrol in the course must meet one of the following prerequisites:
Enrolment in a major or minor program in the Department of Studio Arts;
enrolment in a BFA program with credit requirements in Studio Arts;
written permission of the program director as determined by portfolio submission and space availability.",,,
3739,Ceramics II,CERA,330,"An advanced course in technical and historical research in various ceramic processes with an emphasis on glazes and the use of different clay bodies. 
Prerequisite: CERA 230 or permission of the coordinator.




",,,
3748,Ceramics III,CERA,430,"The development of a body of personal work and a refinement of specific problems in clay.
Prerequisite: CERA 330 or permission of the coordinator.




",,,
3749,Independent Study,CERA,450,"This course provides a limited number of students the opportunity to pursue advanced studies in ceramics under the supervision of a full-time ceramics faculty member. A clearly defined written agreement between the student and the instructor involved is required before the independent study is undertaken. This agreement should clearly state the nature of the student?s research, and the scope of the project and schedule of work should be equivalent to the workload of a six-credit course.
Prerequisite: 48 credits in the Major in Ceramics; CERA 430 previously or concurrently; and written permission of the Department.
A minimum cumulative GPA of 3.5 is required before requesting permission.



",,,
3750,Independent Study I,CERA,451,"This course provides a limited number of students the opportunity to pursue advanced studies in ceramics under the supervision of a full-time ceramics faculty member. A clearly defined written agreement between the student and the instructor involved is required before the independent study is undertaken. This agreement should clearly state the nature of the student?s research,and the scope of the project and schedule of work should be equivalent to the workload of a three-credit course.
Prerequisite: 48 credits in the Major in Ceramics; CERA 430 previously or concurrently; and written permission of the Department.
A minimum cumulative GPA of 3.5 is required before requesting permission.



",,,
3751,Independent Study II,CERA,452,"This course provides a limited number of students the opportunity to pursue advanced studies in ceramics under the supervision of a full-time ceramics faculty member. A clearly defined written agreement between the student and the instructor involved is required before the independent study is undertaken. This agreement should clearly state the nature of the student?s research, and the scope of the project and schedule of work should be equivalent to the workload of a three-credit course.
Prerequisite: 48 credits in the Major in Ceramics; CERA 430 previously or concurrently; and written permission of the Department.
A minimum cumulative GPA of 3.5 is required before requesting permission.



",,,
3793,General Chemistry I,CHEM,205,"Stoichiometry, states of matter, atomic structure, electron structure of atoms, the periodic table, periodic properties, bonding, solids. Lectures and laboratory.

NOTE: This course presumes a good grounding in secondary-school mathematics. Students lacking such grounding or non-science students seeking only an awareness of chemistry are advised to enrol in CHEM 208.
NOTE: Students in programs leading to the BSc degree may not take this course for credit to be applied to their program of concentration.


",,,
3794,General Chemistry II,CHEM,206,"Thermochemistry, solutions and their properties, equilibrium, ionic equilibrium, pH, buffers, kinetics, reaction mechanisms, other selected topics related to biochemistry, biology, and engineering. Lectures and laboratory.
Prerequisite: CHEM 205.
NOTE: Students in programs leading to the BSc degree may not take this course for credit to be applied to their program of concentration.



",,,
3795,Chemistry in Our Lives,CHEM,208,"This course is designed as an introduction to chemistry for non-science students. It concentrates on establishing the chemical concepts and vocabulary necessary to understand the many roles chemistry plays in people's daily lives. Issues to be presented will range from design and testing of drugs to protection of the ozone layer. The chemical phenomena, methodology, and theory will be presented as needed to understand the various issues covered in the course. Lectures only.

NOTE: This course is not a prerequisite for any Chemistry course. This course may not be taken for credit by science students.
NOTE: Students who have received credit for CHEZ 208 may not take this course for credit.


",,,
3795,Chemistry in Our Lives,CHEZ,208,"This course is designed as an introduction to chemistry for non-science students. It concentrates on establishing the chemical concepts and vocabulary necessary to understand the many roles chemistry plays in people's daily lives. Issues to be presented will range from design and testing of drugs to protection of the ozone layer. The chemical phenomena, methodology, and theory will be presented as needed to understand the various issues covered in the course. Lectures only.

NOTE: This course is not a prerequisite for any Chemistry course. This course may not be taken for credit by science students.
NOTE: Students who have received credit for CHEZ 208 may not take this course for credit.


",,,
